,Name,Price,Date,Rate,Singleplayer,Action,Multiplayer,Adventure,Strategy,Simulation,Indie,RPG,Atmospheric,Story Rich,Open World,Casual,2D,Sandbox,Fantasy,Online Co-Op,Exploration,3D,Funny,Survival,Shooter,Realistic,Anime,Sci-fi,FPS
188,RuneScape ®,353.91,2020,0.82,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
189,Brawlhalla,129,2017,0.8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
190,Shadowverse CCG,0,2016,0.7,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
191,Monster Hunter: World,731.1,2018,0.92,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
192,HARDCORE MECHA,3.25,2019,0.83,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
193,DCS World Steam Edition,4384.9,2018,0.89,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
194,Fallout 3: Game of the Year Edition,311.18,2009,0.83,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
195,Borderlands 2,29,2012,0.94,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1
196,鬼谷八荒 Tale of Immortal,18.5,2021,0.25,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
197,FOR HONOR™,250.7,2017,0.79,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
198,DEVOUR,14.25,2021,0.92,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
199,Pillars of Eternity II: Deadfire,14.99,2018,0.87,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
200,THE IDOLM@STER STARLIT SEASON,23.9,2021,0.9,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,太吾绘卷 The Scroll Of Taiwu,10,2018,0.45,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
202,"Warhammer 40,000: Dawn of War II: Retribution",10.5,2011,0.9,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
203,The Wandering Village,10,2022,0.89,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
204,World War 3,13,2018,0.27,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
205,Shop Titans,0,2020,0.73,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
206,Soulworker,0,2020,0.67,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
207,Yakuza 5 Remastered,74.7,2021,0.9,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
208,SCUM,34.5,2018,0.8,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
209,Hades,10,2020,0.97,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Alien: Isolation,9,2014,0.95,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
211,Shin Megami Tensei III Nocturne HD Remaster,8.9,2021,0.88,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
212,Biped,38.49,2020,0.78,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
213,The Witcher® 3: Wild Hunt,94.88,2015,0.97,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
214,Lords Mobile,0,2019,0.78,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
215,Soul Hackers 2,52.8,2022,0.56,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
216,Yakuza 4 Remastered,74.7,2021,0.85,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
217,Albion Online,0,2017,0.78,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
218,Russian Fishing 4,0,2021,0.81,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
219,FINAL FANTASY VII REMAKE INTERGRADE,97.9,2022,0.91,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
220,Kena: Bridge of Spirits,8.49,2022,0.91,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
221,EVE Online,3372.8,2003,0.67,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
222,House Flipper,53.5,2018,0.96,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
223,Little Nightmares,89.9,2017,0.95,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Dread Hunger,96.25,2022,0.6,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
225,Hollow Knight,15.75,2017,0.97,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
226,Half-Life: Alyx,10,2020,0.97,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
227,Metal: Hellsinger,29.99,2022,0.97,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
228,Hell Let Loose,45.43,2021,0.89,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
229,We Were Here Forever,8.5,2022,0.92,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
230,Project Wunderwaffe,5.25,2022,0.71,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
231,GRIS,10,2018,0.96,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
232,ENDLESS™ Space 2,10.5,2017,0.8,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
233,A Total War Saga: TROY,16,2021,0.65,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
234,Yakuza 3 Remastered,74.7,2021,0.78,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
235,Car Mechanic Simulator 2021,53.25,2021,0.95,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
236,Tiny Tina's Wonderlands,102.4,2022,0.76,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
237,Sniper Elite 5,65.25,2022,0.85,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
238,PowerWash Simulator,34.9,2022,0.96,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
239,World of Tanks,29.99,2021,0.89,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
240,Realm of the Mad God Exalt,44.5,2012,0.81,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
241,Judgment,42.9,2022,0.96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
242,Assassin's Creed® Revelations,13.3,2011,0.88,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
243,Vampire Survivors,5.99,2021,0.97,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
244,The Mortuary Assistant,3.25,2022,0.94,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
245,Total War: ROME REMASTERED,34.5,2021,0.79,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Arise: A Simple Story,3.25,2020,0.88,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
247,Titan Quest Anniversary Edition,20,2016,0.91,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
248,Potion Permit,28.8,2022,0.73,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
249,Cuphead,24.25,2017,0.96,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
250,Forza Horizon 4,175.5,2021,0.92,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
251,Warhammer: Vermintide 2,78.76,2018,0.88,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
252,Idle Skilling,0,2022,0.78,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
253,Slay the Spire,6.5,2019,0.97,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
254,Last Epoch,29,2019,0.84,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
255,Fresh Start Cleaning Simulator,10,2022,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
256,Tabletop Simulator,319.5,2015,0.93,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
257,JoJo's Bizarre Adventure: All-Star Battle R,29.8,2022,0.84,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
258,Total War: SHOGUN 2,5.5,2011,0.94,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,DJMAX RESPECT V,13.5,2020,0.92,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
260,eFootball™ 2023,0,2021,0.44,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
261,Action Taimanin,0,2020,0.46,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
262,Paladins®,182.2,2018,0.79,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
263,Subnautica,10,2018,0.98,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
264,BRAVELY DEFAULT II,79.9,2021,0.73,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
265,Dakar Desert Rally,47.98,2022,0.56,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
266,Blade and Sorcery,18.5,2018,0.95,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
267,Isonzo,35.75,2022,0.83,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
268,Ghost Watchers,14.5,2022,0.81,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
269,NARUTO TO BORUTO: SHINOBI STRIKER,104.8,2018,0.75,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
270,Fishing Planet,1264.51,2015,0.92,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
271,Overcooked,5.5,2016,0.97,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
272,Star Trek Online,0,2010,0.73,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
273,Escape Simulator,10.5,2021,0.94,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
274,Inscryption,5,2021,0.98,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
275,DARK SOULS™ III,54.7,2016,0.93,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
276,Dead Cells,26.75,2018,0.96,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
277,Wizard101,0,2008,0.79,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
278,Halo: The Master Chief Collection,82.5,2019,0.88,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
279,Getting Over It with Bennett Foddy,8.5,2017,0.81,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
280,Oxygen Not Included,18.25,2019,0.97,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0
281,SOULCALIBUR VI,99.9,2018,0.87,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
282,Assassin's Creed® III Remastered,458.7,2019,0.63,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,They Are Billions,7.5,2019,0.84,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
284,Detroit: Become Human,41.99,2020,0.96,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
285,F1® Manager 2022,62,2022,0.81,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
286,Her Name Was Fire,4.25,2022,0.72,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
287,WorldBox - God Simulator,18.5,2021,0.96,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
288,Warface,227.9,2012,0.56,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
289,Halo Infinite,79.9,2021,0.34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
290,The Cycle: Frontier,591.94,2022,0.59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
291,Governor of Poker 3,0,2016,0.71,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Backpack Hero,5.25,2022,0.89,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
293,Green Hell,22,2019,0.88,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
294,Assetto Corsa Competizione,127.58,2019,0.92,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
295,Omega Strikers,0,2022,0.87,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
296,Way of the Hunter,21.75,2022,0.75,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1
297,Pathfinder: Wrath of the Righteous - Enhanced Edition,98.99,2021,0.78,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
298,SD GUNDAM BATTLE ALLIANCE,73.7,2022,0.57,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
299,Assassin's Creed 2,458.7,2010,0.91,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
300,NieR:Automata™,13.9,2017,0.94,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
301,ASTRONEER,6.5,2016,0.93,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
302,Book of Yog Idle RPG,0,2022,0.81,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
303,Command: Modern Operations,3.25,2019,0.92,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Sid Meier's Civilization® V,10.5,2010,0.96,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Space Engineers,61,2019,0.89,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
306,60 Parsecs!,20,2018,0.83,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
307,The Riftbreaker,19.99,2021,0.91,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
308,GrandChase,0,2021,0.61,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
309,Disco Elysium - The Final Cut,33,2019,0.85,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
310,Idle Champions of the Forgotten Realms,22,2020,0.58,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
311,Grim Dawn,69,2016,0.95,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
312,The Sims™ 3,509.1,2009,0.91,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
313,Train Sim World® 3,1386,2022,0.77,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
314,Star Valor,22,2022,0.88,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
315,Timberborn,7.5,2021,0.94,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
316,Koi-Koi VR: Love Blossoms,49,2022,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
317,HITMAN 3,244.95,2022,0.91,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
318,Edge Of Eternity,44.1,2021,0.29,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
319,VRChat,0,2017,0.67,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
320,DRAGON BALL XENOVERSE 2,305.6,2016,0.94,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
321,Arcade Paradise,13.25,2022,0.87,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
322,Horizon Zero Dawn™ Complete Edition,67.9,2020,0.91,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
323,The Elder Scrolls Online: High Isle,108.3,2022,0.63,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
324,The Infected,14,2020,0.76,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1
325,Core Keeper,13,2022,0.92,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
326,GTFO,54.9,2021,0.77,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
327,Days Gone,67.9,2021,0.9,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
328,Gothic 1,169.5,2001,0.92,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
329,Insurgency: Sandstorm,39.9,2018,0.83,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
330,Gloomhaven,24.75,2021,0.81,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
331,Valkyria Chronicles 4 Complete Edition,81.5,2018,0.81,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
332,Muse Dash,42,2019,0.96,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
333,Portal 2,10,2011,0.98,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
334,Jurassic World Evolution 2,68.5,2021,0.89,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
335,DOOM Eternal,172.21,2020,0.92,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
336,World War Z: Aftermath,10.5,2021,0.82,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
337,Slime Rancher,27.5,2017,0.97,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1
338,Elite Dangerous,48.5,2015,0.77,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
339,Moonbreaker,24,2022,0.78,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
340,Assassin’s Creed® Rogue,458.7,2015,0.89,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341,The Planet Crafter,18.5,2022,0.96,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
342,Despot's Game: Dystopian Battle Simulator,12.75,2022,0.77,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
343,Ni no Kuni™ II: Revenant Kingdom,29.9,2018,0.66,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
344,Battlefield™ V,58,2018,0.69,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
345,PlanetSide 2,0,2012,0.74,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
346,Risen 3 - Titan Lords,5.5,2014,0.84,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
347,A Dance of Fire and Ice,11.75,2019,0.93,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
348,Streets of Rogue,17.25,2019,0.89,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
349,Assassin’s Creed® Brotherhood,18,2011,0.86,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
350,PICO PARK,3.25,2021,0.9,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
351,Age of Empires III: Definitive Edition,57.69,2020,0.93,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
352,Touhou Mystia's Izakaya,4.1,2021,0.97,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
353,Chasm: The Rift,18.5,2022,0.97,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
354,Puyo Puyo™ Tetris® 2,54.9,2021,0.63,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
355,Frostpunk,44.75,2018,0.94,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
356,TUNIC,14,2022,0.92,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
357,DEATH STRANDING DIRECTOR'S CUT,53.99,2022,0.9,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
358,觅长生,12,2019,0.94,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
359,BLEACH Brave Souls,0,2020,0.9,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
360,The Isle,20,2015,0.84,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
361,Crusader Kings II,318.25,2012,0.9,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
362,Kerbal Space Program,29.8,2015,0.96,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
363,Outer Wilds,26,2020,0.95,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
364,MX Bikes,29,2019,0.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
365,Aliens: Fireteam Elite,62,2021,0.83,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
366,Police Simulator: Patrol Officers,32,2021,0.82,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
367,ArcaniA,169.5,2010,0.76,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
368,Brutal Legend,7.5,2013,0.95,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
369,GROUND BRANCH,26,2018,0.91,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
370,DARK SOULS™: REMASTERED,49.9,2018,0.93,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
371,ENDLESS™ Legend,10.5,2014,0.73,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
372,Rocksmith® 2014 Edition - Remastered,39.9,2016,0.49,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
373,State of Decay 2: Juggernaut Edition,13,2020,0.89,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
374,Across the Obelisk,24,2021,0.89,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
375,Northgard,52.5,2018,0.87,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
376,Lost2,21.4,2022,0.87,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
